observer,date,time,treatment,risk,risk_binary,site,wind_speed,con_hetero,size,autonomized,AD,SD,FID,look,locomotion,tot_time_in
AK,27-Jan-22,13:54,C,high,1,gump,2,0,10,0,1.5,5.3,1.5,1,0,30000
AK,21-Jan-22,13:58,C,high,1,gump,1,1,10,0,1.7,2.7,1.7,5,0,30000
KS,25-Jan-22,13:59,S,high,1,gump,2,0,11,0,2.56,3.7,2.56,4,0,30000
LM,21-Jan-22,14:00,C,high,1,cultural_center,0,0,9,0,1.8,2.3,1.8,16,7,30000
AK,17-Jan-22,14:02,S,high,1,gump,2,0,6,1,2.1,2.8,2.1,1,0,30000
LM,23-Jan-22,14:02,_N,_low,-1,cross_island_road,1,2,9,0,2.4,3.7,2.4,6,11,30000
KS,21-Jan-22,14:04,C,high,1,soccer_field,0,4,9,0,1.9,3.1,1.5,6,0,30000
AK,21-Jan-22,14:07,_N,high,1,gump,1,0,8,0,2.5,3.4,2.5,2,0,30000
AK,25-Jan-22,14:07,BC,high,1,cultural_center,1,0,9,0,2,4.1,2,12,4,28263
LM,25-Jan-22,14:10,C,_low,-1,cross_island_road,0,2,11,0,2.1,3.1,1.5,2,0,30000
LM,27-Jan-22,14:13,_N,high,1,soccer_field,1,1,10,0,1.3,2.7,1.3,4,1,30000
LM,17-Jan-22,14:15,C,high,1,gump,2,0,9,0,1.4,2.1,1.4,1,0,30000
LM,19-Jan-22,14:15,BC,high,1,soccer_field,2,0,8,0,1.95,2.85,1.95,1,0,30000
KS,21-Jan-22,14:16,S,high,1,soccer_field,1,3,10,0,1.7,2.9,1.4,2,0,30000
AK,21-Jan-22,14:19,BC,high,1,gump,1,2,7,0,2.65,5,2,3,0,30000
LM,23-Jan-22,14:20,BC,_low,-1,cross_island_road,0,1,6,0,0.83,1.2,0.83,1,0,30000
KS ,27-Jan-22,14:22,S,_low,-1,road_to_pineapple_plantation,2,1,9,0,2.21,3.28,2.21,5,1,30000
AK,21-Jan-22,14:26,S,high,1,gump,1,0,6,0,1.55,3.7,1.55,1,0,30000
AK,23-Jan-22,14:27,S,_low,-1,road_to_pineapple_plantation,2,2,11,0,1.9,2.9,1.9,1,0,30000
LM,23-Jan-22,14:27,C,_low,-1,cross_island_road,0,2,10,0,1.5,2.25,1.2,5,0,30000
KS,21-Jan-22,14:30,C,high,1,soccer_field,2,0,10,0,3.8,5.6,3.8,13,2,30000
KS,25-Jan-22,14:34,C,high,1,gump,1,1,10,0,2.2,4.98,2.2,2,0,30000
LM,27-Jan-22,14:34,BC,high,1,soccer_field,2,0,11,0,0.75,1.8,0.75,2,0,30000
KS ,27-Jan-22,14:35,C,_low,-1,road_to_pineapple_plantation,2,0,10,0,3.02,3.31,1.67,1,0,30000
AK,21-Jan-22,14:38,C,high,1,gump,1,1,11,0,1.85,3.85,1.85,1,0,30000
KS,21-Jan-22,14:39,_N,high,1,soccer_field,1,1,8,0,2.7,5,2.7,1,0,30000
LM,19-Jan-22,14:44,_N,high,1,soccer_field,2,0,5,0,0.95,2.55,0.95,1,0,30000
KS ,27-Jan-22,14:44,_N,_low,-1,road_to_pineapple_plantation,2,0,11,0,1.75,2.21,1.75,2,0,30000
KS,23-Jan-22,14:45,BC,high,1,cultural_center,1,3,9,0,2.2,3.15,2.2,4,0,30000
LM,27-Jan-22,14:49,C,high,1,soccer_field,2,2,11,0,2.15,2.8,2.15,2,0,30000
AK,21-Jan-22,14:50,_N,high,1,gump,1,2,8,0,2.75,4.6,2.75,3,0,30000
AK,23-Jan-22,14:55,C,_low,-1,road_to_pineapple_plantation,2,6,8,0,1.9,3.3,1.9,12,1,30000
LM,21-Jan-22,14:57,_N,high,1,cultural_center,0,0,10,0,2.55,3.02,2.55,9,6,30000
AK,23-Jan-22,15:04,_N,_low,-1,road_to_pineapple_plantation,2,0,12,0,0.9,2.4,0.9,2,0,30000
KS,23-Jan-22,15:09,S,high,1,cultural_center,2,1,10,0,3.14,3.65,3.14,8,5,30000
LM,25-Jan-22,15:10,S,_low,-1,cross_island_road,0,0,8,0,3.8,4.7,3.8,6,1,30000
KS,27-Jan-22,15:16,BC,_low,-1,cross_island_road,1,1,6,0,1.42,2.78,1.42,8,8,24827
